trialNum,resgister,reading (mm),strength,expected distance (mm)
1,0.0,155.0,-8383.0,290
1,0.0,240.0,-11758.0,290
1,0.0,261.0,-5979.0,290
1,0.0,299.0,-10735.0,290
1,0.0,294.0,-7779.0,290
1,0.0,294.0,-6460.0,290
1,0.0,298.0,-4834.0,290
1,0.0,300.0,-5420.0,290
1,0.0,298.0,-5565.0,290
1,0.0,299.0,-5185.0,290
1,0.0,297.0,-5244.0,290
1,0.0,299.0,-5137.0,290
1,0.0,298.0,-5880.0,290
1,0.0,298.0,-5071.0,290
1,0.0,301.0,-5481.0,290
1,0.0,298.0,-4372.0,290
1,0.0,298.0,-4478.0,290
1,0.0,298.0,-5390.0,290
1,0.0,298.0,-5654.0,290
1,0.0,297.0,-5155.0,290
1,0.0,299.0,-5511.0,290
1,0.0,299.0,-5129.0,290
1,0.0,297.0,-4892.0,290
1,0.0,299.0,-5417.0,290
1,0.0,299.0,-4642.0,290
1,0.0,298.0,-4635.0,290
1,0.0,297.0,-4847.0,290
1,0.0,298.0,-4513.0,290
1,0.0,298.0,-5712.0,290
1,0.0,300.0,-5416.0,290
1,0.0,298.0,-5286.0,290
1,0.0,299.0,-5354.0,290
1,0.0,297.0,-4865.0,290
1,0.0,300.0,-5549.0,290
1,0.0,298.0,-5453.0,290
1,0.0,299.0,-4857.0,290
1,0.0,299.0,-4629.0,290
1,0.0,298.0,-5475.0,290
1,0.0,297.0,-5227.0,290
1,0.0,297.0,-5117.0,290
1,0.0,301.0,-5423.0,290
1,0.0,300.0,-4309.0,290
1,0.0,297.0,-6091.0,290
1,0.0,299.0,-4882.0,290
1,0.0,299.0,-4833.0,290
1,0.0,299.0,-4832.0,290
1,0.0,297.0,-5169.0,290
1,0.0,298.0,-4571.0,290
1,0.0,297.0,-4643.0,290
1,0.0,297.0,-5205.0,290
1,0.0,300.0,-5089.0,290
1,0.0,299.0,-5039.0,290
1,0.0,297.0,-4448.0,290
1,0.0,297.0,-5864.0,290
1,0.0,299.0,-5176.0,290
1,0.0,299.0,-5200.0,290
1,0.0,298.0,-4835.0,290
1,0.0,299.0,-4987.0,290
1,0.0,297.0,-4964.0,290
1,0.0,299.0,-5653.0,290
1,0.0,299.0,-5445.0,290
1,0.0,297.0,-5867.0,290
1,0.0,298.0,-4997.0,290
1,0.0,300.0,-5558.0,290
1,0.0,295.0,-5377.0,290
1,0.0,300.0,-5161.0,290
1,0.0,295.0,-5723.0,290
1,0.0,299.0,-5472.0,290
1,0.0,299.0,-5292.0,290
1,0.0,296.0,-5027.0,290
1,0.0,297.0,-5146.0,290
1,0.0,298.0,-5261.0,290
1,0.0,298.0,-5408.0,290
1,0.0,298.0,-5022.0,290
1,0.0,298.0,-6142.0,290
1,0.0,298.0,-5435.0,290
1,0.0,298.0,-5430.0,290
1,0.0,298.0,-5592.0,290
1,0.0,298.0,-5180.0,290
1,0.0,299.0,-5790.0,290
1,0.0,297.0,-5596.0,290
1,0.0,296.0,-6108.0,290
1,0.0,298.0,-5091.0,290
1,0.0,298.0,-4993.0,290
1,0.0,297.0,-4179.0,290
1,0.0,297.0,-6127.0,290
1,0.0,299.0,-5339.0,290
1,0.0,298.0,-4804.0,290
1,0.0,298.0,-4826.0,290
1,0.0,298.0,-5277.0,290
1,0.0,298.0,-4787.0,290
1,0.0,300.0,-5112.0,290
1,0.0,299.0,-4928.0,290
1,0.0,300.0,-4996.0,290
1,0.0,299.0,-5360.0,290
1,0.0,298.0,-5043.0,290
1,0.0,297.0,-5523.0,290
1,0.0,299.0,-5288.0,290
1,0.0,298.0,-5180.0,290
1,0.0,298.0,-6220.0,290
2,0.0,289.0,-6267.0,280
2,0.0,287.0,-6493.0,280
2,0.0,290.0,-6805.0,280
2,0.0,288.0,-6691.0,280
2,0.0,289.0,-6523.0,280
2,0.0,286.0,-6131.0,280
2,0.0,289.0,-6210.0,280
2,0.0,284.0,-7271.0,280
2,0.0,288.0,-7227.0,280
2,0.0,290.0,-6908.0,280
2,0.0,287.0,-6587.0,280
2,0.0,289.0,-6537.0,280
2,0.0,288.0,-7418.0,280
2,0.0,290.0,-6897.0,280
2,0.0,289.0,-6711.0,280
2,0.0,288.0,-7154.0,280
2,0.0,289.0,-7497.0,280
2,0.0,286.0,-6962.0,280
2,0.0,287.0,-7049.0,280
2,0.0,289.0,-5854.0,280
2,0.0,288.0,-6888.0,280
2,0.0,291.0,-6366.0,280
2,0.0,290.0,-7564.0,280
2,0.0,288.0,-7528.0,280
2,0.0,289.0,-6696.0,280
2,0.0,287.0,-6788.0,280
2,0.0,288.0,-6659.0,280
2,0.0,290.0,-6442.0,280
2,0.0,289.0,-6119.0,280
2,0.0,289.0,-6148.0,280
2,0.0,290.0,-7445.0,280
2,0.0,288.0,-6823.0,280
2,0.0,288.0,-8011.0,280
2,0.0,288.0,-6287.0,280
2,0.0,287.0,-6942.0,280
2,0.0,289.0,-6109.0,280
2,0.0,291.0,-6583.0,280
2,0.0,287.0,-7309.0,280
2,0.0,286.0,-6034.0,280
2,0.0,287.0,-6237.0,280
2,0.0,288.0,-6180.0,280
2,0.0,287.0,-6519.0,280
2,0.0,288.0,-6532.0,280
2,0.0,289.0,-6062.0,280
2,0.0,290.0,-6852.0,280
2,0.0,288.0,-7481.0,280
2,0.0,286.0,-6744.0,280
2,0.0,288.0,-5899.0,280
2,0.0,291.0,-6081.0,280
2,0.0,287.0,-6643.0,280
2,0.0,288.0,-6183.0,280
2,0.0,288.0,-6493.0,280
2,0.0,289.0,-6812.0,280
2,0.0,289.0,-6980.0,280
2,0.0,289.0,-6790.0,280
2,0.0,290.0,-7126.0,280
2,0.0,289.0,-7322.0,280
2,0.0,287.0,-6612.0,280
2,0.0,291.0,-7314.0,280
2,0.0,289.0,-7021.0,280
2,0.0,290.0,-6882.0,280
2,0.0,291.0,-6408.0,280
2,0.0,289.0,-7450.0,280
2,0.0,289.0,-6115.0,280
2,0.0,286.0,-6674.0,280
2,0.0,289.0,-6241.0,280
2,0.0,287.0,-6825.0,280
2,0.0,287.0,-6628.0,280
2,0.0,290.0,-5908.0,280
2,0.0,289.0,-6252.0,280
