trialNum,resgister,reading,strength,expected
0,0.0,49.0,6478.0,50
0,1.0,165.0,-13329.0,50
0,2.0,262.0,-6843.0,50
0,0.0,49.0,6433.0,50
0,1.0,162.0,-13470.0,50
0,2.0,257.0,-6729.0,50
0,0.0,49.0,6478.0,50
0,1.0,165.0,-13448.0,50
0,2.0,259.0,-6409.0,50
0,0.0,49.0,6407.0,50
0,1.0,164.0,-13318.0,50
0,2.0,256.0,-6738.0,50
0,0.0,50.0,6437.0,50
0,1.0,159.0,-13819.0,50
0,2.0,255.0,-6253.0,50
0,0.0,49.0,6448.0,50
0,1.0,165.0,-13775.0,50
0,2.0,277.0,-7218.0,50
0,0.0,49.0,6447.0,50
0,1.0,164.0,-13321.0,50
0,2.0,261.0,-6536.0,50
0,0.0,49.0,6528.0,50
0,1.0,164.0,-13614.0,50
0,2.0,257.0,-6309.0,50
0,0.0,49.0,6474.0,50
0,1.0,163.0,-13502.0,50
0,2.0,250.0,-5852.0,50
0,3.0,300.0,-7590.0,50
0,0.0,49.0,6424.0,50
0,1.0,163.0,-13512.0,50
0,2.0,259.0,-7290.0,50
0,0.0,49.0,6357.0,50
0,1.0,164.0,-13529.0,50
0,2.0,261.0,-6307.0,50
0,0.0,49.0,6471.0,50
0,1.0,163.0,-13688.0,50
0,2.0,257.0,-6312.0,50
0,0.0,49.0,6418.0,50
0,1.0,164.0,-13945.0,50
0,2.0,253.0,-6718.0,50
0,0.0,49.0,6471.0,50
0,1.0,163.0,-13591.0,50
0,2.0,271.0,-6734.0,50
0,0.0,49.0,6391.0,50
0,1.0,163.0,-13572.0,50
0,2.0,257.0,-7013.0,50
0,0.0,49.0,6460.0,50
0,1.0,165.0,-13722.0,50
0,2.0,253.0,-6844.0,50
0,0.0,49.0,6485.0,50
1,0.0,49.0,5367.0,48
1,1.0,197.0,-7549.0,48
1,2.0,241.0,-5734.0,48
1,0.0,49.0,5542.0,48
1,1.0,197.0,-7990.0,48
1,2.0,246.0,-5461.0,48
1,0.0,49.0,5555.0,48
