trialNum,resgister,reading (mm),strength,expected distance (mm)
1,0.0,54.0,3220.0,290
1,1.0,115.0,-7501.0,290
1,2.0,204.0,-11150.0,290
1,0.0,55.0,3207.0,290
1,1.0,117.0,-7668.0,290
1,2.0,205.0,-10632.0,290
1,0.0,54.0,3205.0,290
1,1.0,117.0,-7847.0,290
1,2.0,206.0,-10463.0,290
1,0.0,54.0,3182.0,290
1,1.0,117.0,-7767.0,290
1,2.0,205.0,-10737.0,290
1,0.0,54.0,3165.0,290
1,1.0,115.0,-7534.0,290
1,2.0,204.0,-10588.0,290
1,0.0,54.0,3173.0,290
1,1.0,117.0,-7923.0,290
1,2.0,204.0,-10701.0,290
1,0.0,54.0,3284.0,290
1,1.0,117.0,-7854.0,290
1,2.0,204.0,-10457.0,290
1,0.0,54.0,3173.0,290
1,1.0,117.0,-7894.0,290
1,2.0,203.0,-10550.0,290
1,0.0,54.0,3200.0,290
1,1.0,116.0,-7565.0,290
1,2.0,205.0,-10974.0,290
1,0.0,54.0,3190.0,290
1,1.0,117.0,-7815.0,290
1,2.0,205.0,-10324.0,290
1,0.0,54.0,3275.0,290
1,1.0,115.0,-7703.0,290
1,2.0,204.0,-11229.0,290
1,0.0,55.0,3250.0,290
1,1.0,116.0,-7788.0,290
1,2.0,205.0,-10799.0,290
1,0.0,54.0,3239.0,290
1,1.0,117.0,-7691.0,290
1,2.0,204.0,-10917.0,290
1,0.0,54.0,3220.0,290
1,1.0,116.0,-7553.0,290
1,2.0,205.0,-11316.0,290
1,0.0,54.0,3141.0,290
1,1.0,117.0,-8066.0,290
1,2.0,205.0,-10728.0,290
1,0.0,54.0,3157.0,290
1,1.0,115.0,-7668.0,290
1,2.0,206.0,-10656.0,290
1,0.0,54.0,3190.0,290
1,1.0,116.0,-7680.0,290
1,2.0,204.0,-11042.0,290
1,0.0,54.0,3159.0,290
1,1.0,116.0,-7737.0,290
1,2.0,207.0,-10549.0,290
1,0.0,54.0,3278.0,290
1,1.0,116.0,-7694.0,290
1,2.0,205.0,-10608.0,290
1,0.0,55.0,3222.0,290
1,1.0,115.0,-7622.0,290
1,2.0,206.0,-10817.0,290
1,0.0,54.0,3104.0,290
1,1.0,117.0,-7703.0,290
1,2.0,204.0,-10848.0,290
1,0.0,54.0,3191.0,290
1,1.0,116.0,-7679.0,290
1,2.0,204.0,-10131.0,290
1,0.0,55.0,3181.0,290
1,1.0,115.0,-7795.0,290
1,2.0,203.0,-10869.0,290
1,0.0,54.0,3207.0,290
1,1.0,116.0,-7809.0,290
1,2.0,205.0,-10445.0,290
1,0.0,54.0,3216.0,290
1,1.0,116.0,-7877.0,290
1,2.0,204.0,-10726.0,290
1,0.0,54.0,3178.0,290
1,1.0,117.0,-7756.0,290
1,2.0,203.0,-10636.0,290
1,0.0,54.0,3136.0,290
1,1.0,116.0,-7759.0,290
1,2.0,204.0,-10505.0,290
1,0.0,54.0,3231.0,290
1,1.0,116.0,-7698.0,290
1,2.0,201.0,-11007.0,290
1,0.0,55.0,3241.0,290
1,1.0,117.0,-7685.0,290
1,2.0,205.0,-10803.0,290
1,0.0,54.0,3147.0,290
1,1.0,116.0,-7794.0,290
1,2.0,206.0,-10233.0,290
1,0.0,55.0,3249.0,290
1,1.0,116.0,-7695.0,290
1,2.0,204.0,-10245.0,290
1,0.0,54.0,3145.0,290
1,1.0,116.0,-7779.0,290
1,2.0,205.0,-10686.0,290
1,0.0,54.0,3184.0,290
1,1.0,115.0,-7704.0,290
1,2.0,204.0,-11181.0,290
1,0.0,54.0,3207.0,290
2,1.0,117.0,-7860.0,280
2,2.0,205.0,-10406.0,280
2,0.0,51.0,612.0,280
2,1.0,108.0,-5558.0,280
2,2.0,201.0,-10975.0,280
2,0.0,51.0,618.0,280
2,1.0,109.0,-5555.0,280
2,2.0,199.0,-10863.0,280
2,0.0,51.0,348.0,280
2,1.0,109.0,-5896.0,280
2,2.0,199.0,-11361.0,280
2,0.0,51.0,404.0,280
2,1.0,109.0,-5762.0,280
2,2.0,195.0,-11062.0,280
2,0.0,51.0,513.0,280
2,1.0,109.0,-5642.0,280
2,2.0,203.0,-11046.0,280
2,0.0,52.0,361.0,280
2,1.0,109.0,-6021.0,280
2,2.0,198.0,-11347.0,280
2,0.0,51.0,-170.0,280
2,1.0,121.0,-5930.0,280
2,2.0,202.0,-10621.0,280
2,0.0,51.0,-57.0,280
2,1.0,121.0,-5905.0,280
2,2.0,202.0,-10442.0,280
2,0.0,51.0,-522.0,280
2,1.0,121.0,-6019.0,280
2,2.0,197.0,-11266.0,280
2,0.0,51.0,38.0,280
2,1.0,121.0,-5739.0,280
2,2.0,199.0,-11202.0,280
2,0.0,51.0,-605.0,280
2,1.0,131.0,-5255.0,280
2,2.0,203.0,-10870.0,280
2,0.0,51.0,-191.0,280
2,1.0,121.0,-5974.0,280
2,2.0,194.0,-11779.0,280
2,0.0,51.0,666.0,280
2,1.0,109.0,-5538.0,280
2,2.0,202.0,-10412.0,280
2,0.0,51.0,710.0,280
2,1.0,109.0,-5655.0,280
2,2.0,197.0,-11246.0,280
2,0.0,51.0,462.0,280
2,1.0,109.0,-5803.0,280
2,2.0,200.0,-10917.0,280
2,0.0,51.0,289.0,280
2,1.0,108.0,-5681.0,280
2,2.0,201.0,-10987.0,280
2,0.0,51.0,418.0,280
2,1.0,108.0,-5715.0,280
2,2.0,197.0,-11379.0,280
2,0.0,51.0,756.0,280
2,1.0,108.0,-5649.0,280
2,2.0,200.0,-10995.0,280
2,0.0,51.0,428.0,280
2,1.0,109.0,-5863.0,280
2,2.0,201.0,-11129.0,280
2,0.0,51.0,-41.0,280
2,1.0,109.0,-6211.0,280
2,2.0,201.0,-11121.0,280
2,0.0,51.0,307.0,280
2,1.0,109.0,-5807.0,280
2,2.0,194.0,-11352.0,280
2,0.0,51.0,317.0,280
2,1.0,109.0,-5981.0,280
2,2.0,198.0,-11120.0,280
2,0.0,51.0,350.0,280
2,1.0,109.0,-5773.0,280
2,2.0,198.0,-10771.0,280
2,0.0,52.0,333.0,280
2,1.0,110.0,-6086.0,280
2,2.0,200.0,-10693.0,280
2,0.0,51.0,221.0,280
2,1.0,120.0,-5530.0,280
2,2.0,198.0,-11016.0,280
2,0.0,51.0,-42.0,280
2,1.0,109.0,-6062.0,280
2,2.0,201.0,-10823.0,280
2,0.0,51.0,360.0,280
2,1.0,109.0,-5870.0,280
2,2.0,203.0,-10204.0,280
2,0.0,51.0,299.0,280
2,1.0,109.0,-5983.0,280
2,2.0,199.0,-11011.0,280
2,0.0,51.0,202.0,280
2,1.0,109.0,-6052.0,280
2,2.0,202.0,-10864.0,280
2,0.0,51.0,171.0,280
2,1.0,109.0,-6014.0,280
2,2.0,199.0,-10988.0,280
2,0.0,51.0,669.0,280
2,1.0,109.0,-5740.0,280
2,2.0,199.0,-11650.0,280
2,0.0,51.0,463.0,280
2,1.0,109.0,-5892.0,280
2,2.0,201.0,-10773.0,280
2,0.0,51.0,185.0,280
2,1.0,109.0,-5695.0,280
3,2.0,199.0,-11626.0,270
3,0.0,48.0,2954.0,270
3,1.0,122.0,-13144.0,270
3,2.0,185.0,-13760.0,270
3,0.0,48.0,2951.0,270
3,1.0,122.0,-13357.0,270
3,2.0,186.0,-13503.0,270
3,0.0,48.0,2972.0,270
3,1.0,122.0,-13099.0,270
3,2.0,185.0,-13619.0,270
3,0.0,48.0,2981.0,270
3,1.0,186.0,-13662.0,270
3,0.0,48.0,2964.0,270
3,1.0,122.0,-12886.0,270
3,2.0,186.0,-14047.0,270
3,0.0,48.0,2900.0,270
3,1.0,123.0,-13122.0,270
3,2.0,186.0,-14020.0,270
3,0.0,48.0,2887.0,270
3,1.0,123.0,-13111.0,270
3,2.0,185.0,-13413.0,270
3,3.0,243.0,-16594.0,270
3,0.0,48.0,2966.0,270
3,1.0,188.0,-13389.0,270
3,2.0,238.0,-11470.0,270
