trialNum,resgister,reading (mm),strength,expected distance (mm)
0,0,62,-8168,60
0,0,62,-8065,60
0,0,62,-7985,60
0,0,62,-7901,60
0,0,62,-8045,60
0,0,62,-7950,60
0,0,62,-8024,60
0,0,62,-7947,60
0,0,62,-8014,60
0,0,62,-8049,60
0,0,62,-8198,60
0,0,62,-8370,60
0,0,62,-8007,60
0,0,62,-8235,60
0,0,62,-8223,60
0,0,62,-7960,60
0,0,62,-8001,60
0,0,62,-8196,60
0,0,62,-8120,60
0,0,62,-8075,60
0,0,62,-7883,60
0,0,62,-8035,60
0,0,62,-8096,60
0,0,62,-8273,60
0,0,62,-8049,60
0,0,62,-7953,60
0,0,62,-8094,60
0,0,62,-8175,60
0,0,62,-8049,60
0,0,62,-8132,60
0,0,62,-8219,60
0,0,62,-8040,60
0,0,62,-8178,60
0,0,62,-8161,60
0,0,62,-7961,60
0,0,62,-7910,60
0,0,62,-8014,60
0,0,62,-8140,60
0,0,62,-8116,60
0,0,62,-8030,60
0,0,62,-8211,60
0,0,62,-8173,60
0,0,62,-8122,60
0,0,62,-8235,60
0,0,62,-8083,60
0,0,62,-8022,60
0,0,62,-8017,60
0,0,62,-8011,60
0,0,62,-8099,60
0,0,62,-8215,60
1,0,58,-8199,58
1,0,59,-8248,58
1,0,59,-8286,58
1,0,59,-8144,58
1,0,58,-8272,58
1,0,59,-8398,58
1,0,59,-8129,58
1,0,59,-8255,58
1,0,59,-8284,58
1,0,59,-8229,58
1,0,58,-8355,58
1,0,59,-8201,58
1,0,59,-8267,58
1,0,58,-8301,58
1,0,58,-8390,58
1,0,58,-8258,58
1,0,59,-8249,58
1,0,59,-8301,58
1,0,59,-8232,58
1,0,59,-8290,58
1,0,59,-8253,58
1,0,58,-8392,58
1,0,59,-8336,58
1,0,58,-8271,58
1,0,59,-8172,58
1,0,58,-8240,58
1,0,59,-8127,58
1,0,59,-8204,58
1,0,58,-8335,58
1,0,58,-8299,58
1,0,59,-8284,58
1,0,58,-8284,58
1,0,59,-8248,58
1,0,59,-8171,58
1,0,58,-8317,58
1,0,59,-8300,58
1,0,59,-8261,58
1,0,58,-8221,58
1,0,59,-8295,58
1,0,59,-8265,58
1,0,58,-8240,58
1,0,58,-8272,58
1,0,58,-8268,58
1,0,59,-8247,58
1,0,58,-8186,58
1,0,59,-8207,58
1,0,58,-8294,58
1,0,59,-8125,58
1,0,58,-8276,58
1,0,59,-8331,58
2,0,58,-10739,56
2,0,58,-10753,56
2,0,57,-10867,56
2,0,57,-11033,56
2,0,57,-10841,56
2,0,57,-10882,56
2,0,57,-10963,56
2,0,57,-10941,56
2,0,57,-10947,56
